DMID  PAIR_NAME  RA_+_DEC            z          zerr           NII6583      unc_NII       Halpha       unc_Ha        Hbeta       unc_Hb     OIII5007     unc_OIII            Z
N066  dm1214+49  121418.48+495459.3  0.0145632  0.0000052       14.043        1.282      239.481        3.293       87.264        2.876      248.523        4.205        8.180
N067  dm1145+13  114558.71+134728.4  0.0000000  0.0000000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
N068  dm1145+13  114556.12+135021.2  0.0000000  0.0000000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
N069  dm1051+65  105127.58+653757.1  0.0110983  0.0000066       93.847        1.524      524.787        3.711      158.795        2.347      134.690        2.311        8.780
N070  dm1051+65  105120.59+654054.4  0.0107569  0.0000079       18.249        0.873      101.855        1.579       31.661        1.374       31.448        1.390        8.498
N071  dm0204-10  020425.59-100934.9  0.0063426  0.0000047        2.626        0.726      110.546        1.505       41.844        1.502       60.406        1.694      -99.900
N072  dm0204-10  020412.41-100442.4  0.0064154  0.0000042       14.934        0.870      268.299        2.418       79.907        1.826      155.174        2.360        7.996
N073  dm1218+05  121842.89+054720.0  0.0085828  0.0000240        0.179        1.482        0.188        1.409       -1.119        1.983        0.806        1.787      -99.900
N074  dm1218+05  121831.72+055059.2  0.0076167  0.0000951        0.360        1.031        0.123        1.023       -2.957        1.526        3.183        1.408      -99.900
N075  dm0924+34  092433.98+343934.0  0.0060930  0.0000223        5.160        1.004       28.466        1.464        6.420        1.308        2.952        1.335      -99.900
N076  dm0924+34  092405.28+343847.6  0.0062345  0.0000528       -0.327        0.832        1.843        0.945       -1.213        1.186        0.917        1.237      -99.900
N077  dm0058+01  005904.10+010004.2  0.0178204  0.0000064      325.103        3.763     2463.841       16.618      751.396        7.401     2228.413       16.133        8.608
N078  dm0058+01  005855.46+010017.6  0.0178986  0.0000039       61.217        1.561     2289.719       16.517      661.326        6.755     3322.691       24.237        8.085
N079  dm1204+17  120416.96+171436.5  0.0140648  0.0000048       55.068        1.781      631.530        5.973      192.897        3.625      626.831        7.369        8.372
N080  dm1204+17  120410.21+171225.2  0.0142736  0.0000062       13.469        1.094      123.272        2.146       40.298        1.891       50.484        2.116        8.239
N081  dm0828+20  082810.16+201819.2  0.0148383  0.0000143        0.000       -1.167        0.000       -1.167       30.568        2.786       69.209        3.630      -99.900
N082  dm0828+20  082807.54+201543.6  0.0147429  0.0000103       21.843        1.638      133.926        2.710       37.437        2.456       62.143        2.956        8.596
N083  dm1213+07  121310.69+071310.5  0.0071261  0.0000160        5.948        1.006       40.887        1.428       14.904        1.447        5.566        1.288      -99.900
N084  dm1213+07  121259.82+071756.7  0.0072709  0.0000073       17.553        1.190      147.079        2.244       41.163        1.765       74.454        2.105        8.598
N085  dm1155+43  115532.00+433129.6  0.0360021  0.0000043       73.936        2.080      806.790        7.384      258.559        4.313      613.934        7.378        8.314
N086  dm1155+43  115527.38+433042.4  0.0360753  0.0000089        8.616        1.353       76.400        2.104       25.725        1.931       40.319        2.331        8.353
N087  dm1350-02  135012.82-022611.4  0.0238307  0.0000054       30.172        1.313      225.494        2.699       68.770        2.407      118.647        2.752        8.630
N088  dm1350-02  135007.14-022513.8  0.0240951  0.0000225       14.407        1.596       33.079        1.720       10.074        2.565        6.011        2.146      -99.900
